,level_0,index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,Coordenadas,Locacion,road,city,county,state,country,country_code,industrial,town,isolated_dwelling,hamlet,postcode,building,neighbourhood,region,suburb,amenity,man_made,village,office,historic,aeroway,tourism,state_district,highway,Comuna,REGION,PROVINCIA,COMUNA,ComunaUpper,raw
0,0,482,-32.76023,-71.47901999999999,324.94,0.51,0.66,2022-01-10,453,N,nominal,2.0NRT,284.4,2.66,N,"-32.76023,-71.47901999999999","Cruce Ruta 5 (Quinquimo) - Papudo - Cruce Ruta 64 (Reñaca Alto), Loncura Bajo, Quintero, Provincia de Valparaíso, Región de Valparaíso, 840000, Chile",Cruce Ruta 5 (Quinquimo) - Papudo - Cruce Ruta 64 (Reñaca Alto),,Provincia de Valparaíso,Región de Valparaíso,Chile,cl,,Quintero,,Loncura Bajo,840000,,,,,,,,,,,,,,Quintero,5.0,51.0,5107.0,QUINTERO,"{'place_id': 273331935, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 923310522, 'lat': '-32.8456814', 'lon': '-71.4758974', 'display_name': 'Quintero, Provincia de Valparaíso, Región de Valparaíso, Chile', 'address': {'town': 'Quintero', 'county': 'Provincia de Valparaíso', 'state': 'Región de Valparaíso', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-32.8463539', '-32.8456814', '-71.4770607', '-71.4758974']}"
1,1,483,-34.106609999999996,-70.46042,314.69,0.42,0.61,2022-01-10,453,N,nominal,2.0NRT,282.89,2.61,N,"-34.106609999999996,-70.46042","Planta Caletones División El Teniente de Codelco, Caletones, Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",,,Provincia de Cachapoal,Región del Libertador General Bernardo O'Higgins,Chile,cl,Planta Caletones División El Teniente de Codelco,Machalí,,Caletones,,,,,,,,,,,,,,,Machalí,6.0,61.0,6108.0,MACHALÍ,"{'place_id': 282577281, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1664171, 'lat': '-34.182453', 'lon': '-70.6511584', 'display_name': ""Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile"", 'address': {'town': 'Machalí', 'county': 'Provincia de Cachapoal', 'state': ""Región del Libertador General Bernardo O'Higgins"", 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-34.703403', '-34.0090745', '-70.7244661', '-70.0096881']}"
2,2,484,-34.10784,-70.45573,317.81,0.42,0.61,2022-01-10,453,N,nominal,2.0NRT,282.01,2.61,N,"-34.10784,-70.45573","Planta Caletones División El Teniente de Codelco, Caletones, Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",,,Provincia de Cachapoal,Región del Libertador General Bernardo O'Higgins,Chile,cl,Planta Caletones División El Teniente de Codelco,Machalí,,Caletones,,,,,,,,,,,,,,,Machalí,6.0,61.0,6108.0,MACHALÍ,"{'place_id': 282577281, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1664171, 'lat': '-34.182453', 'lon': '-70.6511584', 'display_name': ""Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile"", 'address': {'town': 'Machalí', 'county': 'Provincia de Cachapoal', 'state': ""Región del Libertador General Bernardo O'Higgins"", 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-34.703403', '-34.0090745', '-70.7244661', '-70.0096881']}"
3,3,485,-34.102990000000005,-70.45354,298.81,0.42,0.61,2022-01-10,453,N,nominal,2.0NRT,282.93,1.85,N,"-34.102990000000005,-70.45354","Fundicion de Caletones, Tramo 3, Planta Caletones División El Teniente de Codelco, Caletones, Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",Tramo 3,,Provincia de Cachapoal,Región del Libertador General Bernardo O'Higgins,Chile,cl,Planta Caletones División El Teniente de Codelco,Machalí,,Caletones,,Fundicion de Caletones,,,,,,,,,,,,,Machalí,6.0,61.0,6108.0,MACHALÍ,"{'place_id': 282577281, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1664171, 'lat': '-34.182453', 'lon': '-70.6511584', 'display_name': ""Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile"", 'address': {'town': 'Machalí', 'county': 'Provincia de Cachapoal', 'state': ""Región del Libertador General Bernardo O'Higgins"", 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-34.703403', '-34.0090745', '-70.7244661', '-70.0096881']}"
4,4,486,-34.10815,-70.45703,329.99,0.42,0.61,2022-01-10,453,N,nominal,2.0NRT,281.85,1.85,N,"-34.10815,-70.45703","Planta Caletones División El Teniente de Codelco, Caletones, Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",,,Provincia de Cachapoal,Región del Libertador General Bernardo O'Higgins,Chile,cl,Planta Caletones División El Teniente de Codelco,Machalí,,Caletones,,,,,,,,,,,,,,,Machalí,6.0,61.0,6108.0,MACHALÍ,"{'place_id': 282577281, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1664171, 'lat': '-34.182453', 'lon': '-70.6511584', 'display_name': ""Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile"", 'address': {'town': 'Machalí', 'county': 'Provincia de Cachapoal', 'state': ""Región del Libertador General Bernardo O'Higgins"", 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-34.703403', '-34.0090745', '-70.7244661', '-70.0096881']}"
5,5,490,-36.74385,-73.12897,298.4,0.49,0.65,2022-01-10,455,N,nominal,2.0NRT,287.09,1.07,N,"-36.74385,-73.12897","Puerto Huachipato, Avenida Juan Antonio Ríos, Libertad, Talcahuano, Provincia de Concepción, Región del Biobío, 4261172, Chile",Avenida Juan Antonio Ríos,Talcahuano,Provincia de Concepción,Región del Biobío,Chile,cl,,,,,4261172,,Libertad,,,,Puerto Huachipato,,,,,,,,Talcahuano,8.0,81.0,8110.0,TALCAHUANO,"{'place_id': 46585983, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3975287816, 'lat': '-36.7254541', 'lon': '-73.1053603', 'display_name': 'El Morro, Talcahuano, Provincia de Concepción, Región del Biobío, 4261172, Chile', 'address': {'neighbourhood': 'El Morro', 'city': 'Talcahuano', 'county': 'Provincia de Concepción', 'state': 'Región del Biobío', 'postcode': '4261172', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-36.7354541', '-36.7154541', '-73.1153603', '-73.0953603']}"
6,6,510,-39.35839,-71.58697,347.7,0.35,0.57,2022-01-10,455,N,nominal,2.0NRT,286.02,3.56,N,"-39.35839,-71.58697","Municipalidad de Curarrehue, Puel Mapu, Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile",Puel Mapu,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Curarrehue,,,,,,,,Municipalidad de Curarrehue,,,,,,,,,Curarrehue,9.0,91.0,9104.0,CURARREHUE,"{'place_id': 124783329, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 105619838, 'lat': '-39.33229522190829', 'lon': '-71.53750072157165', 'display_name': 'Curarrehue - Reigolil, Quilonco, Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile', 'address': {'road': 'Curarrehue - Reigolil', 'hamlet': 'Quilonco', 'town': 'Curarrehue', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.3597756', '-39.3288447', '-71.5740385', '-71.532229']}"
7,7,511,-39.35743,-71.5906,319.5,0.35,0.57,2022-01-10,455,N,nominal,2.0NRT,286.04,3.56,N,"-39.35743,-71.5906","Complejo Educacional Curarrehue Ruka Ngen, Pasaje lago Quillelhue, Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile",Pasaje lago Quillelhue,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Curarrehue,,,,,,,,Complejo Educacional Curarrehue Ruka Ngen,,,,,,,,,Curarrehue,9.0,91.0,9104.0,CURARREHUE,"{'place_id': 124783329, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 105619838, 'lat': '-39.33229522190829', 'lon': '-71.53750072157165', 'display_name': 'Curarrehue - Reigolil, Quilonco, Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile', 'address': {'road': 'Curarrehue - Reigolil', 'hamlet': 'Quilonco', 'town': 'Curarrehue', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.3597756', '-39.3288447', '-71.5740385', '-71.532229']}"
8,8,512,-39.35577,-71.58792,324.88,0.35,0.57,2022-01-10,455,N,nominal,2.0NRT,286.06,1.78,N,"-39.35577,-71.58792","Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile",,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Curarrehue,,,,,,,,,,,,,,,,,Curarrehue,9.0,91.0,9104.0,CURARREHUE,"{'place_id': 124783329, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 105619838, 'lat': '-39.33229522190829', 'lon': '-71.53750072157165', 'display_name': 'Curarrehue - Reigolil, Quilonco, Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile', 'address': {'road': 'Curarrehue - Reigolil', 'hamlet': 'Quilonco', 'town': 'Curarrehue', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.3597756', '-39.3288447', '-71.5740385', '-71.532229']}"
9,9,513,-39.36115,-71.58918,351.28,0.35,0.57,2022-01-10,455,N,nominal,2.0NRT,286.29,4.39,N,"-39.36115,-71.58918","Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile",,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Curarrehue,,,,,,,,,,,,,,,,,Curarrehue,9.0,91.0,9104.0,CURARREHUE,"{'place_id': 124783329, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 105619838, 'lat': '-39.33229522190829', 'lon': '-71.53750072157165', 'display_name': 'Curarrehue - Reigolil, Quilonco, Curarrehue, Provincia de Cautín, Región de la Araucanía, Chile', 'address': {'road': 'Curarrehue - Reigolil', 'hamlet': 'Quilonco', 'town': 'Curarrehue', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.3597756', '-39.3288447', '-71.5740385', '-71.532229']}"
10,10,1379,-23.823729999999998,-70.31674,325.41,0.38,0.59,2022-01-10,631,N,nominal,2.0NRT,287.98,2.04,N,"-23.823729999999998,-70.31674","Ruta 5 Norte, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile",Ruta 5 Norte,Antofagasta,Provincia de Antofagasta,Región de Antofagasta,Chile,cl,,,,,,,,,,,,,,,,,,,Antofagasta,2.0,21.0,2101.0,ANTOFAGASTA,"{'place_id': 282607959, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1561898, 'lat': '-23.6463741', 'lon': '-70.3980033', 'display_name': 'Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile', 'address': {'city': 'Antofagasta', 'county': 'Provincia de Antofagasta', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-25.4019573', '-23.0584154', '-70.6286037', '-68.0670324']}"
11,11,1380,-23.8241,-70.31277,310.57,0.38,0.59,2022-01-10,631,N,nominal,2.0NRT,284.61,2.04,N,"-23.8241,-70.31277","Ruta 5 Norte, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile",Ruta 5 Norte,Antofagasta,Provincia de Antofagasta,Región de Antofagasta,Chile,cl,,,,,,,,,,,,,,,,,,,Antofagasta,2.0,21.0,2101.0,ANTOFAGASTA,"{'place_id': 282607959, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1561898, 'lat': '-23.6463741', 'lon': '-70.3980033', 'display_name': 'Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile', 'address': {'city': 'Antofagasta', 'county': 'Provincia de Antofagasta', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-25.4019573', '-23.0584154', '-70.6286037', '-68.0670324']}"
12,12,1381,-23.82297,-70.31454000000001,334.69,0.38,0.59,2022-01-10,631,N,nominal,2.0NRT,288.38,3.58,N,"-23.82297,-70.31454000000001","Ruta 5 Norte, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile",Ruta 5 Norte,Antofagasta,Provincia de Antofagasta,Región de Antofagasta,Chile,cl,,,,,,,,,,,,,,,,,,,Antofagasta,2.0,21.0,2101.0,ANTOFAGASTA,"{'place_id': 282607959, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1561898, 'lat': '-23.6463741', 'lon': '-70.3980033', 'display_name': 'Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile', 'address': {'city': 'Antofagasta', 'county': 'Provincia de Antofagasta', 'state': 'Región de Antofagasta', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-25.4019573', '-23.0584154', '-70.6286037', '-68.0670324']}"
