,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
1926,-33.09284,-71.53725,313.1,2.18,1.43,2022-03-01,359,T,86,6.1NRT,288.8,40.42,N
1927,-33.0977,-71.56039,400.03,2.17,1.43,2022-03-01,359,T,100,6.1NRT,296.61,790.41,N
1928,-33.10257,-71.58358,303.98,2.16,1.43,2022-03-01,359,T,58,6.1NRT,288.06,21.28,N
1929,-33.080090000000006,-71.54086,321.74,2.18,1.43,2022-03-01,359,T,100,6.1NRT,289.41,62.42,N
1930,-33.08482,-71.56329000000001,342.11,2.17,1.43,2022-03-01,359,T,100,6.1NRT,290.97,147.57,N
1931,-33.0953,-71.543,358.98,2.18,1.43,2022-03-01,359,T,100,6.1NRT,291.31,262.42,N
1932,-33.10007,-71.56647,372.63,2.17,1.43,2022-03-01,359,T,100,6.1NRT,293.37,390.18,N
1933,-33.08252,-71.54648,338.44,2.18,1.43,2022-03-01,359,T,100,6.1NRT,290.9,130.02,N
1934,-33.08726,-71.56971999999999,330.42,2.17,1.43,2022-03-01,359,T,100,6.1NRT,290.15,93.05,N
1935,-33.06981,-71.55032,303.3,2.18,1.43,2022-03-01,359,T,54,6.1NRT,288.32,21.81,N
1936,-37.87823,-72.32044,312.98,1.53,1.22,2022-03-01,359,T,86,6.1NRT,285.23,25.85,N
1937,-37.88156,-72.33797,315.64,1.52,1.22,2022-03-01,359,T,92,6.1NRT,284.65,29.79,N
1938,-37.34383,-73.62763000000001,300.68,1.33,1.14,2022-03-01,359,T,32,6.1NRT,284.6,9.77,N
1939,-36.73465,-72.91029,327.73,1.49,1.21,2022-03-01,359,T,100,6.1NRT,287.54,50.84,N
1940,-36.73785,-72.92709,373.95,1.49,1.21,2022-03-01,359,T,100,6.1NRT,292.14,237.69,N
1975,-36.72274,-72.92676999999999,320.26,1.38,1.16,2022-03-01,544,A,100,6.1NRT,286.23,33.3,N
1976,-36.725640000000006,-72.91131,332.28,1.38,1.16,2022-03-01,544,A,100,6.1NRT,288.31,55.49,N
1977,-36.733109999999996,-72.92981999999999,310.5,1.38,1.16,2022-03-01,544,A,80,6.1NRT,285.1,20.16,N
1978,-36.73602,-72.91424,341.0,1.38,1.16,2022-03-01,544,A,100,6.1NRT,288.46,76.91,N
1979,-37.87701,-72.33017,303.73,1.24,1.1,2022-03-01,544,A,57,6.1NRT,283.58,10.86,N
1980,-37.879459999999995,-72.31654,310.82,1.23,1.1,2022-03-01,544,A,81,6.1NRT,284.8,17.19,N
1993,-32.80168,-70.94843,300.23,1.28,1.12,2022-03-01,544,A,22,6.1NRT,286.4,9.03,N
1994,-33.0736,-71.55599000000001,312.0,1.36,1.16,2022-03-01,544,A,84,6.1NRT,287.7,20.32,N
1995,-33.0763,-71.54124,324.09,1.36,1.16,2022-03-01,544,A,100,6.1NRT,289.95,37.65,N
1996,-33.083890000000004,-71.55891,340.07,1.36,1.16,2022-03-01,544,A,100,6.1NRT,290.74,71.68,N
1997,-33.0866,-71.54404,352.36,1.36,1.16,2022-03-01,544,A,100,6.1NRT,294.18,109.22,N
1998,-33.09431,-71.56104,341.34,1.36,1.16,2022-03-01,544,A,100,6.1NRT,290.03,75.17,N
1999,-33.096940000000004,-71.54661999999999,355.96,1.36,1.16,2022-03-01,544,A,100,6.1NRT,293.45,122.6,N
