Unnamed: 0,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
24311,-41.48235,-71.65155,321.06,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,286.13,3.71,N
24312,-41.48119000000001,-71.65504,296.04,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,277.29,2.74,N
24313,-41.48365,-71.64766999999998,307.13,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,285.73,3.71,N
24314,-41.47749,-71.71134,347.48,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,290.92,7.09,N
24315,-41.47952,-71.70524,338.47,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,290.22,7.09,N
24316,-41.4756,-71.71706,315.73,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,288.12,4.17,N
24317,-41.49971,-71.64426999999998,308.78,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,276.75,2.63,N
24318,-41.48096,-71.7234,321.99,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,287.11,4.17,N
24319,-41.48278,-71.71795999999998,309.6,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,286.63,4.17,N
24320,-41.48619,-71.70767,300.18,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,282.79,7.09,N
24321,-41.5076,-71.64296999999998,301.83,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,285.29,4.38,N
24322,-41.48364,-71.72395,317.39,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,286.7,5.84,N
24323,-41.48543,-71.71864000000002,309.02,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,286.53,4.32,N
24324,-41.51925,-71.70725,296.57,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,285.92,1.1,N
24325,-41.52805,-71.70328,295.21,0.64,0.72,2021-12-29,429,1,nominal,2.0NRT,282.31,1.1,N
24326,-47.40871,-71.98331,317.47,0.43,0.62,2021-12-29,431,1,nominal,2.0NRT,283.05,2.8,N
24327,-47.40992,-71.97945,312.44,0.43,0.62,2021-12-29,431,1,nominal,2.0NRT,284.66,3.25,N
24328,-47.41512,-71.9834,298.29,0.43,0.62,2021-12-29,431,1,nominal,2.0NRT,282.86,1.53,N
24916,-39.52752,-71.09129,327.35,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,289.2,7.35,N
24917,-39.53011,-71.08341,330.28,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,290.6,8.64,N
24918,-39.52281,-71.10563,309.36,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,286.25,5.58,N
24919,-39.52519,-71.09839000000002,318.66,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,287.56,7.35,N
24920,-39.53601,-71.08870999999998,334.35,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,286.94,5.1,N
24921,-39.53147,-71.10254,309.9,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,284.45,3.74,N
24922,-39.53381,-71.09543000000002,304.18,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,285.34,3.74,N
24923,-39.53839,-71.08145999999998,299.84,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,284.51,5.1,N
24924,-39.5266,-71.09264,324.48,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,288.18,4.56,N
24925,-39.52914000000001,-71.08502,334.95,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,290.85,5.55,N
24926,-39.5218,-71.10699,305.33,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,285.4,2.84,N
24927,-39.52425,-71.09969,313.05,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,287.76,4.56,N
24928,-39.53176,-71.0772,296.46,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,283.56,5.55,N
24929,-39.53751,-71.08292,325.07,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,287.51,5.55,N
24930,-39.52805,-71.11121999999997,296.56,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,283.2,2.84,N
24931,-39.53041,-71.10414,303.04,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,284.7,4.56,N
24932,-39.53286,-71.09679,316.11,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,286.46,4.56,N
24933,-39.53512,-71.09006,312.67,0.69,0.74,2021-12-29,429,1,nominal,2.0NRT,284.8,5.55,N
25073,-27.41243,-70.26318,328.5,0.53,0.42,2021-12-29,605,1,nominal,2.0NRT,289.79,13.65,N
25074,-27.41692,-70.25853000000001,300.54,0.53,0.42,2021-12-29,605,1,nominal,2.0NRT,288.87,1.24,N
25101,-28.48123,-71.24925,306.15,0.48,0.4,2021-12-29,605,1,nominal,2.0NRT,289.81,1.21,N
25135,-32.80201,-70.95143,308.7,0.56,0.43,2021-12-29,607,1,nominal,2.0NRT,287.36,1.73,N
25136,-33.2957,-70.72946,313.36,0.39,0.44,2021-12-29,607,1,nominal,2.0NRT,290.22,1.28,N
25137,-34.1036,-70.45599,311.55,0.41,0.45,2021-12-29,607,1,nominal,2.0NRT,287.28,1.43,N
25138,-34.10407,-70.45152,300.33,0.41,0.45,2021-12-29,607,1,nominal,2.0NRT,288.61,1.22,N
25139,-34.10778,-70.45616,338.13,0.41,0.45,2021-12-29,607,1,nominal,2.0NRT,294.91,10.54,N
25140,-34.10732,-70.46053,305.33,0.41,0.45,2021-12-29,607,1,nominal,2.0NRT,288.5,10.54,N
25141,-35.89391,-71.56424,298.03,0.56,0.43,2021-12-29,607,1,nominal,2.0NRT,285.67,0.69,N
25142,-36.13177,-71.49624,328.28,0.57,0.43,2021-12-29,607,1,nominal,2.0NRT,285.97,4.97,N
25154,-36.86467,-71.37496999999998,302.06,0.39,0.44,2021-12-29,607,1,nominal,2.0NRT,283.85,0.94,N
25163,-37.98244,-72.59905,296.64,0.53,0.42,2021-12-29,607,1,nominal,2.0NRT,281.27,1.01,N
25166,-38.02675,-72.37373000000002,298.95,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,287.34,3.58,N
25167,-38.02743,-72.36740999999998,315.63,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,286.78,4.14,N
25168,-38.02811,-72.36106,303.31,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,286.09,4.14,N
25170,-38.02998,-72.38087,337.77,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,287.73,3.58,N
25171,-38.03066,-72.37456999999998,322.96,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,290.08,3.58,N
25172,-38.03135,-72.36823000000003,345.86,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,291.21,4.14,N
25173,-38.03203,-72.36184,300.74,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,288.54,4.14,N
25175,-38.03457,-72.37538,302.29,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,286.19,1.65,N
25176,-38.01077,-72.62907,301.22,0.53,0.42,2021-12-29,607,1,nominal,2.0NRT,281.79,1.24,N
25177,-38.08245,-72.51913,296.11,0.54,0.42,2021-12-29,607,1,nominal,2.0NRT,286.06,1.2,N
25178,-38.09049,-73.34433,295.3,0.49,0.41,2021-12-29,609,1,nominal,2.0NRT,283.66,0.9,N
25179,-38.21497,-73.19964,301.32,0.5,0.41,2021-12-29,609,1,nominal,2.0NRT,269.48,1.29,N
25180,-38.2143,-73.2,307.51,0.5,0.41,2021-12-29,609,1,nominal,2.0NRT,270.07,1.22,N
