,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
1297,-32.802009999999996,-70.95506,321.61,0.48,0.65,2022-07-21,455,N,nominal,2.0NRT,279.85,1.96,N
1298,-32.75659,-71.48034,296.8,0.52,0.66,2022-07-21,455,N,nominal,2.0NRT,278.63,0.97,N
1299,-32.7626,-71.48267,302.68,0.52,0.66,2022-07-21,455,N,nominal,2.0NRT,279.11,1.75,N
1300,-34.104490000000006,-70.4576,334.93,0.42,0.61,2022-07-21,453,N,nominal,2.0NRT,275.67,3.07,N
1303,-34.902390000000004,-71.90635999999999,302.79,0.48,0.65,2022-07-21,453,N,nominal,2.0NRT,276.94,1.23,N
1304,-35.58743,-69.52149,308.12,0.35,0.56,2022-07-21,453,N,nominal,2.0NRT,267.78,1.34,N
1416,-32.800340000000006,-70.95486,298.19,0.43,0.62,2022-07-21,633,N,nominal,2.0NRT,278.47,1.6,N
1417,-34.10844,-70.46033,308.12,0.47,0.64,2022-07-21,633,N,nominal,2.0NRT,276.6,2.66,N
4449,-16.94126,-70.91901,336.47,0.42,0.61,2022-07-21,1902,N,nominal,2.0NRT,305.15,1.17,D
4716,-32.80332,-70.9521,348.34,0.4,0.44,2022-07-21,1856,N,nominal,2.0NRT,295.91,5.46,D
4717,-32.42092,-70.9881,325.41,0.41,0.45,2022-07-21,1856,N,nominal,2.0NRT,292.1,1.39,D
4718,-32.42001,-70.98786,331.28,0.41,0.45,2022-07-21,1856,N,nominal,2.0NRT,292.48,2.72,D
4750,-27.314390000000003,-70.39318,332.14,0.56,0.51,2022-07-21,1858,N,nominal,2.0NRT,294.96,3.61,D
6362,-34.10412,-70.45510999999999,311.9,0.5,0.49,2022-07-22,616,N,nominal,2.0NRT,275.67,3.12,N
6363,-34.10876,-70.45509,331.5,0.5,0.49,2022-07-22,616,N,nominal,2.0NRT,277.73,3.12,N
6364,-34.108259999999994,-70.4606,296.48,0.5,0.49,2022-07-22,616,N,nominal,2.0NRT,276.99,3.12,N
