,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
369,-34.1105,-70.46087,324.29,1.23,1.1,2022-06-14,1452,T,83,6.1NRT,285.31,32.7,D
370,-34.11201,-70.44785,308.61,1.23,1.1,2022-06-14,1452,T,67,6.1NRT,284.71,14.13,D
371,-34.04081,-71.93248,302.38,1.07,1.03,2022-06-14,1452,T,0,6.1NRT,284.14,7.85,D
372,-35.73499,-72.43829000000001,307.39,1.07,1.03,2022-06-14,1452,T,65,6.1NRT,276.44,12.83,D
947,-34.11528,-70.46649000000001,304.21,1.76,1.3,2022-06-14,1906,A,50,6.1NRT,287.11,13.38,D
2580,-32.28716,-70.63264000000001,312.2,1.36,1.15,2022-06-16,338,T,84,6.1NRT,271.33,26.72,N
3011,-32.80573,-70.85106999999999,301.52,1.0,1.0,2022-06-16,1440,T,45,6.1NRT,284.82,5.82,D
3014,-35.101929999999996,-71.99468,339.18,1.01,1.01,2022-06-16,1440,T,91,6.1NRT,282.83,45.25,D
3015,-35.103629999999995,-71.9836,312.75,1.01,1.01,2022-06-16,1440,T,73,6.1NRT,282.03,13.96,D
3565,-35.10584,-71.98759,311.21,1.03,1.01,2022-06-16,1856,A,62,6.1NRT,285.23,12.22,D
3566,-35.10761,-71.99897,327.83,1.03,1.01,2022-06-16,1856,A,64,6.1NRT,284.79,28.85,D
3570,-32.80222,-70.95773,303.89,1.17,1.08,2022-06-16,1856,A,57,6.1NRT,289.03,7.32,D
3584,-36.11253,-72.73404000000001,307.94,1.0,1.0,2022-06-16,1853,A,66,6.1NRT,274.57,11.69,D
